duration,input.b1,input.b2,input.e1,input.e2,input.relation,input.sent_id,input.sentence,input.term1,input.term2,job,metrics.avg_annotations,metrics.avg_cos_clarity,metrics.avg_unique_annotations,output.rellist,output.rellist.annotations,output.rellist.cos_clarity,output.rellist.unique_annotations,worker,uqs,unit_annotation_score,SRS,max_rel,max_srs,none,per:place_of_birth,per:place_of_death,per:places_of_residence
84.9333333333,4,14,6,16,org:subsidiaries,6924f7caa5582759b0ca7b9479dbb2283d659ff179c116298c44d9a188c683bf:4-6:14-16,"Another potential suitor is Virgin Money , part of entrepreneur Sir Richard Branson 's Virgin Group .",Virgin Group,Virgin Money,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
107.8,18,7,19,9,per:places_of_residence,60ce23c127a63c1fb47006a47be532466a910c645e78154d60b1462f79fcd373:7-9:18-19,"He and music and business partner , Lee Payant , operated a Left Bank café in Paris , France , called L'Abbaye where many of the duo 's folk albums were recorded and released on various international labels including Elektra Records .",Lee Payant,France,,15,0.9701425001,2,"Counter({'per:places_of_residence': 12, 'none': 3, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,0.9701425001,2,15,0.6624970181,"Counter({'per:places_of_residence': 0.8041663109047145, 'none': 0.1958336890952855, 'per:place_of_birth': 0.0, 'per:place_of_death': 0.0})","{'none': 0.1958336890952855, 'per:places_of_residence': 0.8041663109047145}",per:places_of_residence,0.8041663109,0.1958336891,0,0,0.8041663109
16.5333333333,9,0,10,1,org:place_of_headquarters,03f1fe98a02ea0e6d8d541876c6be874b2660545413a30c8e52856c9335047ef:0-1:9-10,"Federal-Mogul Corporation is an international automotive supplier headquartered in Southfield , Michigan , USA .",Federal-Mogul,Southfield,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
53.6,10,1,14,5,org:subsidiaries,f8a0bc064cec1574c269090865a6f14bd0b5175ca21359097ebc4925b1978c59:10-14:1-5,The Royal Cambodian Air Force is the branch of the Royal Cambodian Armed Forces which is charged with operating all military aircraft in Cambodia .,Royal Cambodian Air Force,Royal Cambodian Armed Forces,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
97.6666666667,15,2,16,3,per:employee_or_member_of,3dc030d8656cecfce170654870a7fe406cf19ea81b719569df69c9650dbdc9d6:2-3:15-16,"Along with Collins and Aldrin , Armstrong was awarded the Presidential Medal of Freedom by President Richard Nixon ; in 1978 , President Jimmy Carter presented Armstrong the Congressional Space Medal of Honor in 1978 ; he and his former crewmates received the Congressional Gold Medal in 2009 .",Collins,President,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
47.8,23,17,24,19,org:place_of_headquarters,8d87a6d4f28b14c399d0178078eb93c3f564aa50f25ebbad6263706f39675057:17-19:23-24,"Michael R. Paine ( born June 25 , 1928 ) is a retired engineer who worked for Bell Helicopter in Fort Worth , Texas in 1963 .",Bell Helicopter,Texas,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
152.066666667,27,31,28,33,org:subsidiaries,df7e12ef0133ef045ebbe4172514893c892a912cabf7a79559166bb4466ed68b:27-28:31-33,"FNC is carried in the Republic of Ireland by the British Sky Broadcasting ( BSkyB ) satellite-television network ( Sky ) , which is 40-percent owned by FNC 's parent ( News Corporation ) .",News Corporation,FNC,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
62.1333333333,15,18,16,20,per:employee_or_member_of,79fa3fa5fd79158b0708447d96672fbd47288dbc270e386331a9ee403c6d58a1:18-20:15-16,"In 2006 , Barnett anncounced he would seek the Republican nomination to challenge incumbent Democratic Oklahoma State Treasurer Scott Meacham .",Scott Meacham,Oklahoma,,15,0.894427191,2,"Counter({'none': 10, 'per:places_of_residence': 5, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,0.894427191,2,15,0.5412828492,"Counter({'none': 0.6897197440623061, 'per:places_of_residence': 0.3102802559376939, 'per:place_of_birth': 0.0, 'per:place_of_death': 0.0})","{'none': 0.6897197440623061, 'per:places_of_residence': 0.3102802559376939}",none,0.6897197441,0.6897197441,0,0,0.3102802559
44.2,13,10,15,12,per:founded_org,e293153adf61d523d021a5a37e91538f6b05749b95f44b92d240de0806d3a3db:13-15:10-12,"Carol Albert , who sold the land in 2006 to Joseph Sitt 's Thor Equities , says park employees need more job security .",Joseph Sitt,Thor Equities,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
79.2666666667,4,27,5,28,per:place_of_birth,c31dccb31973eab6a55fa77551625be1a2ff522897b49da0fd7ee52134355712:27-28:4-5,"Poffo was born in Calgary , Canada , to Angelo Poffo , an Italian American Catholic , and Judy , a Jewish American.Floridian : A wrestling dynasty He is also the younger brother of the late wrestling legend , "" Macho Man "" Randy Savage .",He,Calgary,,16,0.8908708064,3,"Counter({'per:place_of_birth': 10, 'none': 5, 'per:places_of_residence': 1, 'per:place_of_death': 0})",16,0.8908708064,3,15,0.5053645907,"Counter({'per:place_of_birth': 0.6674668773100497, 'none': 0.33253312268995033, 'per:places_of_residence': 0.07198046990665487, 'per:place_of_death': 0.0})","{'per:place_of_birth': 0.6674668773100497, 'per:places_of_residence': 0.07198046990665487, 'none': 0.33253312268995033}",per:place_of_birth,0.6674668773,0.3325331227,0.6674668773,0,0.0719804699
82.4666666667,23,18,24,20,per:places_of_residence,81d4c9e9a54dd9c61b8296f435ae36937ab05d3b1bab938789edd75bb3b1f8e1:18-20:23-24,"After a brief series of matches against Bill Dromo in March 1965 , he finally left Florida for Don Owen in Portland , Oregon .",Don Owen,Oregon,,15,0.924500327,3,"Counter({'none': 10, 'per:places_of_residence': 4, 'per:place_of_birth': 1, 'per:place_of_death': 0})",15,0.924500327,3,15,0.48551001,"Counter({'none': 0.6675002895386881, 'per:places_of_residence': 0.2638331977173031, 'per:place_of_birth': 0.06866651274400869, 'per:place_of_death': 0.0})","{'per:place_of_birth': 0.06866651274400869, 'none': 0.6675002895386881, 'per:places_of_residence': 0.2638331977173031}",none,0.6675002895,0.6675002895,0.0686665127,0,0.2638331977
56.6,7,0,9,1,per:place_of_birth,f30a0445155829a743ee16d8dac3e8a2bdbaa3ef3fa4c313461f3d9ac5bc1656:0-1:7-9,"Moore was born in New Westminster , British Columbia and was raised in Coquitlam , BC .",Moore,British Columbia,,19,0.9456108577,3,"Counter({'per:place_of_birth': 13, 'per:places_of_residence': 4, 'none': 2, 'per:place_of_death': 0})",19,0.9456108577,3,15,0.692600274,"Counter({'per:place_of_birth': 0.873282984980313, 'per:places_of_residence': 0.2661789182317033, 'none': 0.12671701501968718, 'per:place_of_death': 0.0})","{'per:place_of_birth': 0.873282984980313, 'per:places_of_residence': 0.2661789182317033, 'none': 0.12671701501968718}",per:place_of_birth,0.873282985,0.126717015,0.873282985,0,0.2661789182
72.2,15,12,16,14,per:places_of_residence,54bc451060ae5afff45928cf28360e6c52b30e51923c8edf7be6e5e6283a2c3f:12-14:15-16,On 4 April 1955 he sent a memorandum to his BeNeLux colleagues Paul-Henri Spaak ( Belgium ) and Joseph Bech ( Luxembourg ) in which he proposed his idea of a customs union .,Paul-Henri Spaak,Belgium,,16,0.9949366763,3,"Counter({'per:places_of_residence': 14, 'per:place_of_birth': 1, 'none': 1, 'per:place_of_death': 0})",16,0.9949366763,3,15,0.8270504664,"Counter({'per:places_of_residence': 0.9374985652862374, 'per:place_of_birth': 0.06385524720116229, 'none': 0.06250143471376256, 'per:place_of_death': 0.0})","{'per:place_of_birth': 0.06385524720116229, 'per:places_of_residence': 0.9374985652862374, 'none': 0.06250143471376256}",per:places_of_residence,0.9374985653,0.0625014347,0.0638552472,0,0.9374985653
35.9333333333,13,15,14,18,per:employee_or_member_of,c061eea5a9bfeb804a42d97b95b5265804429d3882aec802299c9110b91252f1:15-18:13-14,Sunstorm is the self-titled album by the AOR/hard rock side project of former Rainbow vocalist Joe Lynn Turner .,Joe Lynn Turner,Rainbow,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
50.9333333333,0,12,1,14,per:places_of_residence,a04241fb34d3e3ede961052b50eb798689cb7c9d4aa51c677a13816ecc45e471:12-14:0-1,"Macedonia 's parliament has approved the cabinet reshuffle submitted by Prime Minister Nikola Gruevski , news reports from Skopje said Saturday .",Nikola Gruevski,Macedonia,,15,0.8320502943,2,"Counter({'none': 9, 'per:places_of_residence': 6, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,0.8320502943,2,15,0.4951423393,"Counter({'none': 0.6201730620461287, 'per:places_of_residence': 0.37982693795387146, 'per:place_of_birth': 0.0, 'per:place_of_death': 0.0})","{'none': 0.6201730620461287, 'per:places_of_residence': 0.37982693795387146}",none,0.620173062,0.620173062,0,0,0.379826938
26,17,0,18,3,org:place_of_headquarters,5d8c10080c5e0e8c9f3e1863a8dc6a1822ecf15fb14872153c2618d4ef248680:0-3:17-18,"Oil Refineries Ltd. ( ORL or BAZAN , ) , is an oil refining company located in Haifa Bay , Israel .",Oil Refineries Ltd.,Haifa,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
34.8666666667,5,0,6,2,per:place_of_birth,494a553915c40fcfc0725a04aa312e4e6aa3d47ace7993c676524b8308050271:0-2:5-6,"David Byrne was born in Dumbarton , Scotland , to parents Tom and Emma .",David Byrne,Dumbarton,,17,0.9716656206,3,"Counter({'per:place_of_birth': 13, 'per:places_of_residence': 3, 'none': 1, 'per:place_of_death': 0})",17,0.9716656206,3,15,0.7211606472,"Counter({'per:place_of_birth': 0.8718409316699438, 'per:places_of_residence': 0.18625035134879744, 'none': 0.06664576883266579, 'per:place_of_death': 0.0})","{'per:place_of_birth': 0.8718409316699438, 'per:places_of_residence': 0.18625035134879744, 'none': 0.06664576883266579}",per:place_of_birth,0.8718409317,0.0666457688,0.8718409317,0,0.1862503513
48.3333333333,4,0,5,1,per:place_of_death,c4dbb2dcc45e4e8884147585e1e6f8ba63d8535d594388e8ef87fb4b68152020:0-1:4-5,"Pilatus is buried at Munich , Germany On February 14 , 2007 , Universal Pictures announced it was developing a movie based on Milli Vanilli 's rise and fall in the music industry .",Pilatus,Munich,,16,0.7378647874,4,"Counter({'none': 7, 'per:place_of_death': 6, 'per:places_of_residence': 2, 'per:place_of_birth': 1})",16,0.7378647874,4,15,0.3544295791,"Counter({'none': 0.4868393336251249, 'per:place_of_death': 0.3835585306822476, 'per:places_of_residence': 0.12960213569262785, 'per:place_of_birth': 0.06803553578622486})","{'per:place_of_birth': 0.06803553578622486, 'per:places_of_residence': 0.12960213569262785, 'none': 0.4868393336251249, 'per:place_of_death': 0.3835585306822476}",none,0.4868393336,0.4868393336,0.0680355358,0.3835585307,0.1296021357
173.466666667,28,8,30,9,per:employee_or_member_of,dea389ec003d9939b1b50c394a2ad288bfd552f8c0f99696fc1b4a1316aec8c9:8-9:28-30,"Although in later years critics would single out Ackerman 's records ( especially Childhood and Memory ) and De Grassi 's first record , the album that gained Windham Hill Records notice was the 1980 recording by George Winston Autumn .",Ackerman,Windham Hill,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
71.4,9,5,10,8,org:place_of_headquarters,32b8bf3f0e43c340ff1ecb20357694ed62db82491e9823bb839dca6215b47378:5-8:9-10,"Head of Boys Sport at Wells Cathedral School , Somerset , England and Director of Sport / Rugby at Glenstal Abbey school , Co. Limerick , Ireland .",Wells Cathedral School,Somerset,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
72.4,10,0,11,1,org:place_of_headquarters,fd9010cfd2dd3b3e6a1a7af192da0058e4c8eb9a7cb2498048909d28aa3a9e7a:0-1:10-11,TSMC closed up 0.49 percent at NT$ 61.00 on the Taiwan Stock Exchange Tuesday .,TSMC,Taiwan,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
83.3333333333,44,40,45,41,org:place_of_headquarters,73eab1539b884d6443167ddaa41b6c109ca724aaace19c29015583e2dd6cbb7d:40-41:44-45,"Well-known examples include Beovoz in Belgrade , Serbia , S-Bahn in Germany , German-speaking areas of Switzerland and Austria , Proastiakos in Greece , RER in France , suburban lines in Milan ( Italy ) , Cercanías in Spain , HÉV in Budapest , Hungary .",HÉV,Hungary,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
76.4666666667,0,2,1,4,per:places_of_residence,2fc5dedc6386f75ed3b69e23a09fa11273998326ec2c5cb8e38dff852fc38017:2-4:0-1,Italy 's Carolina Kostner moved closer to a third European figure skating title by leading Friday 's short programme .,Carolina Kostner,Italy,,18,0.8908708064,4,"Counter({'per:places_of_residence': 10, 'none': 4, 'per:place_of_birth': 3, 'per:place_of_death': 1})",18,0.8908708064,4,15,0.4599611483,"Counter({'per:places_of_residence': 0.6764018276262048, 'none': 0.2718740429332524, 'per:place_of_birth': 0.13883897071083814, 'per:place_of_death': 0.0041399052800780625})","{'per:place_of_birth': 0.13883897071083814, 'per:places_of_residence': 0.6764018276262048, 'none': 0.2718740429332524, 'per:place_of_death': 0.0041399052800780625}",per:places_of_residence,0.6764018276,0.2718740429,0.1388389707,0.0041399053,0.6764018276
71.8,11,13,12,15,per:title,21db6ade0efd94ab470ccae94a935cb6d107949644055fcce4fdd5343897e72f:13-15:11-12,"Sen. Thomas Pryor Gore , D-Okla. , put it bluntly when Labor Secretary Frances Perkins testified on Capitol Hill that year about President Franklin D. Roosevelt 's plan for a new program called Social Security .",Frances Perkins,Labor,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
35,0,9,1,12,per:founded_org,738b7929e45e685d176b62541834271ac6a2a0fd744b7d080e0cabe35e8939e7:0-1:9-12,"AIG 's history dates back to 1919 , when Cornelius Vander Starr established an insurance agency in Shanghai , China .",Cornelius Vander Starr,AIG,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
45.7333333333,21,18,23,20,per:top_member_employee_of_org,d6454d7609369b5613a00b0df816e94e60185d7dea685d4f7b75fd103725d042:21-23:18-20,"With the election of Ronald Reagan , however , she was fired and replaced by a member of Phyllis Schlafly 's Eagle Forum .",Phyllis Schlafly,Eagle Forum,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
71,10,3,11,4,org:place_of_headquarters,ca925d23d5db6fad97da8217358ae42e69faab6abff7238741d07393771572f1:3-4:10-11,In May 2007 Telent announced its move from Coventry to Warwick opus 40 business park .,Telent,Warwick,,15,0.9974586998,2,"Counter({'none': 14, 'per:places_of_residence': 1, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,0.9974586998,2,15,0.8660448042,"Counter({'none': 0.9330088969822042, 'per:places_of_residence': 0.06699110301779578, 'per:place_of_birth': 0.0, 'per:place_of_death': 0.0})","{'none': 0.9330088969822042, 'per:places_of_residence': 0.06699110301779578}",none,0.933008897,0.933008897,0,0,0.066991103
63,2,16,3,17,per:places_of_residence,1a36ea5daa1ce4be8a11e5b41050194d13c8905f7328db64a2ba06ae33d7919f:16-17:2-3,"Back in Liverpool , no one contacted each other for two weeks , but Best and his mother made numerous phone calls to Hamburg to recover the group 's equipment .",his,Liverpool,,15,0.7525766947,2,"Counter({'per:places_of_residence': 8, 'none': 7, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,0.7525766947,2,15,0.4685013011,"Counter({'per:places_of_residence': 0.5447888690199488, 'none': 0.45521113098005117, 'per:place_of_birth': 0.0, 'per:place_of_death': 0.0})","{'none': 0.45521113098005117, 'per:places_of_residence': 0.5447888690199488}",per:places_of_residence,0.544788869,0.455211131,0,0,0.544788869
124.133333333,19,5,20,8,org:place_of_headquarters,9b2af17b8b20c6b7467b27e3be2f1485ceedcdb1e89e36646eddf82cace82641:5-8:19-20,""" We are supplying the Lebanese Armed Forces with the equipment , armament , and training necessary to protect Lebanon and the Lebanese people from threats foreign and domestic , "" he said in a statement .",Lebanese Armed Forces,Lebanon,,15,1,1,"Counter({'none': 15, 'per:places_of_residence': 0, 'per:place_of_birth': 0, 'per:place_of_death': 0})",15,1,1,15,1,"Counter({'none': 1.0, 'per:place_of_birth': 0.0, 'per:places_of_residence': 0.0, 'per:place_of_death': 0.0})",{'none': 1.0},none,1,1,0,0,0
