doc_id,index,sentence,sentence_id,validate_verbs,uqs,uqs_initial
wsj_0662,418,"Jayark , New York , distributes and rents audio-visual equipment and prints promotional ads for retailers .",6,for_92_95,0.4601076475,0.5238095238
CNN19980227.2130.0067,441,"Army of god is a secret organization that hates abortion providers , homosexuals and the US government .",20,is_12_14,0.4603891005,0.4857142857
PRI19980306.2000.1675,161,"For The World , this is Pamela McCall in the BBC news room in London .",0,is_21_23,0.4607937505,0.4857142857
ABC19980120.1830.0957,346,"For the Cuban government , that is the risk .",20,For_0_3 is_32_34,0.4614891658,0.4299251012
wsj_0316,234,"The purchase price is equal to about 1.65 times Deseret 's roughly $ 10.7 million book value , or assets less liabilities .",5,is_19_21,0.4615198522,0.4666666667
VOA19980305.1800.2603,323,"Lisa Schlein for VOA News , Geneva .",24,for_13_16,0.4620396307,0.5238095238
wsj_0810,39,Paribas is Allianz 's lead French bank .,21,is_8_10,0.462382194,0.4857142857
wsj_0610,220,"Kellogg is based in Battle Creek , Mich. , a city that calls itself the breakfast capital of the world .",14,is_8_10 based_11_16 calls_55_60,0.4631873929,0.4160771232
wsj_0321,431,"Mesa flies to 42 cities in New Mexico , Arizona , Wyoming , Colorado and Texas .",6,in_24_26,0.4639064979,0.4666666667
wsj_0584,424,"Indeed , BellSouth 's cellular operations were among the first in the country to become profitable .",39,operations_31_41 were_42_46 among_47_52 in_63_65 become_81_87 profitable_88_98,0.4649564451,0.3674906867
NYT19980206.0460,187,"Among people with less than a high school education , the rate in January was 7.2 percent .",37,was_74_77,0.4655977798,0.4666666667
wsj_0165,282,"The preferred stock , which would have a dividend rate of $ 1.76 a year , would be convertible into Heritage common at a rate of four common shares for each preferred .",4,have_34_38 be_80_82 preferred_157_166,0.4670226031,0.389181498
NYT19980206.0460,194,"Among high school graduates , the rate was 3.9 percent , and college graduates , 1.9 percent .",38,was_39_42,0.4672269541,0.4666666667
CNN19980126.1600.1104,326,Major job cuts at AT and T .,0,at_15_17,0.4674517868,0.5238095238
wsj_1006,436,Mr. Bussieres was president and chief operating officer of Provigo 's Quebec retail and wholesale grocery unit .,28,was_14_17 operating_38_47 officer_48_55,0.4674709525,0.4080761714
NYT20000105.0325,43,`` But that 's his home . '',31,s_12_14,0.467480299,0.4666666667
wsj_0675,551,"Markets Stocks : Volume 170,330,000 shares .",26,Markets_0_7,0.4676989303,0.4857142857
VOA19980331.1700.1533,200,It 's between two to six days for every one uh of the sickest patients across the country .,9,s_3_5,0.4678902275,0.4857142857
ABC19980108.1830.0711,340,"In the Philippines , a four year low .",5,In_0_2 low_33_36,0.4679179563,0.4857142857
wsj_0760,295,"Operating profit for the abrasives , engineering materials and petroleum services concern was $ 19.2 million , or 91 cents a share , up 3 % from $ 18.7 million , or 87 cents a share .",2,was_90_93,0.4679667153,0.4666666667
wsj_0610,107,Each share point is worth about $ 60 million in sales .,9,is_17_19,0.4687037465,0.4666666667
wsj_0610,370,Each share point is worth about $ 60 million in sales .,9,is_17_19 worth_20_25 in_45_47 sales_48_53,0.4691628091,0.387884972
wsj_1013,495,The results include a $ 130.2 million write-down of the securities in the high-yield portfolio to the lower of their cost or market value .,7,results_4_11 include_12_19 write-down_38_48 in_67_69 lower_102_107 market_125_131,0.4698005396,0.3995813808
PRI19980306.2000.1675,412,"For The World , this is Pamela McCall in the BBC news room in London .",0,For_0_3 is_21_23 in_38_40 in_59_61,0.4700524364,0.4095238095
wsj_0695,519,"The investor group includes Restaurant Investment Partnership , a California general partnership , and three Rally 's directors : Mr. Sugarman , James M. Trotter III and William E. Trotter II .",4,includes_19_27 Investment_39_49 Rally_109_114,0.4706954666,0.3949409799
APW19980818.0515,84,`` I am truly in the presence of heroes . '',13,am_5_7,0.4707595344,0.4666666667
PRI19980303.2000.2550,89,"And that is a condition of the application , then .",21,is_9_11,0.4712653314,0.4666666667
wsj_0541,93,The conversion price for the debentures is $ 41.725 a share .,3,is_40_42,0.472160908,0.4666666667
wsj_0745,548,"The Conservatives do n't dare jeopardize marginal Tory seats in Coventry , where Jaguar has headquarters , nor can the government easily back down on promised protection for a privatized company while it proceeds with controversial plans to privatize most of Britain 's water and electricity industries .",26,do_18_20 in_61_63 has_88_91 back_137_141 down_142_146 on_147_149 promised_150_158 for_170_173 plans_232_237,0.4721935555,0.3764330554
APW19980810.0907,408,The source for the Tanzanian figures is the U.S. Embassy in Dar es Salaam .,2,for_11_14 is_37_39 in_57_59,0.473137616,0.4183638403
wsj_0610,56,This has n't been Kellogg Co. 's year .,0,has_5_8 been_13_17,0.4759426884,0.4164564006
wsj_0745,170,"`` The golden share is a single share , but it is the magic share . ''",13,is_20_22 is_47_49,0.4769898337,0.4499299113
NYT20000105.0325,164,`` The core issue here is the bond between the parent and the child . '',3,is_23_25,0.477254797,0.4666666667
APW19980322.0749,407,`` Nationalists in the north are not a minority in someone else 's country .,10,in_16_18 are_29_32 in_48_50,0.4794005264,0.4132600461
NYT20000330.0406,17,`` But it is Cuba .,6,is_10_12,0.4800793237,0.5238095238
NYT19980907.0112,280,"Tourism has never been so well-developed an industry in neighboring Tanzania , which is home to Mt. Kilimanjaro , the magnificent wildlife of Serengeti National Park and the exotic island of Zanzibar .",20,has_8_11 been_18_22 neighboring_56_67 is_85_87,0.4811365186,0.3942124271
wsj_1006,245,"The three units are a nationwide pharmaceutical and health-products distributor , a small sporting-goods chain , and a combination catalog showroom and toy-store chain .",11,are_16_19,0.4812480288,0.5238095238
PRI19980303.2000.2550,268,The Saudi Arabian government has an atrocious record on human rights and is known to be one of the worst offending countries when it comes to religious persecution .,19,has_29_32 is_73_75 known_76_81 be_85_87 offending_105_114 comes_133_138,0.4819225872,0.4236572584
NYT20000330.0406,423,"Among non-Cuban Americans , there was a drastic shift in their feelings on the case . ''",34,Among_0_5 was_34_37 shift_48_53 in_54_56 on_72_74 case_79_83,0.4821987677,0.4187543254
wsj_0586,188,"On Friday , the Tokyo stock price index of first section issues was down 15.82 at 2681.76 .",21,was_64_67,0.4823004662,0.4857142857
wsj_0583,440,"Sansui was once one of Japan 's premier makers of expensive , high-quality stereo gear for audiophiles .",13,was_7_10 for_87_90,0.4838282206,0.4080880229
APW19980810.0907,221,The source for the Kenyan figures is the Department of Relief and Rehabilitation in the office of President Daniel arap Moi .,1,is_34_36,0.4839920332,0.5238095238
wsj_0533,94,Lawyers for the two sides were n't immediately available for comment .,14,were_26_30,0.4848584712,0.4857142857
wsj_0745,368,Politics also influences the government 's thinking on the anti-takeover restriction .,25,on_52_54,0.484924056,0.4666666667
wsj_0768,529,"Says Michael Hirsch , chief investment officer of Republic National Bank and manager of the FundTrust Group in New York : `` It 's a time bomb just waiting to go off . ''",38,Says_0_4 investment_28_38 officer_39_46 manager_77_84 in_108_110 bomb_138_142 waiting_148_155 go_159_161,0.4852224936,0.4575296885
wsj_0586,106,What 's happening here is n't justified by the fundamentals . '',34,s_5_7 happening_8_17 is_23_25 justified_30_39,0.4859878656,0.4488992182
ABC19980108.1830.0711,385,"In Hong Kong , is always belongs to the seller 's market .",12,In_0_2 is_15_17 seller_40_46 market_50_56,0.4871103132,0.3776843262
wsj_1006,186,Mr. Bussieres was president and chief operating officer of Provigo 's Quebec retail and wholesale grocery unit .,28,was_14_17 operating_38_47,0.4871597467,0.440125747
WSJ900813-0157,237,"Two Middle East terrorists with records of successful attacks against Western targets , Abu Nidal and Abu Abbas , have ties to Baghdad .",37,have_114_118,0.4873088153,0.4666666667
wsj_0781,413,"Intel clocks the chip 's speed at 15 million instructions per second , or MIPs .",38,at_31_33,0.4880090849,0.4666666667
ABC19980108.1830.0711,342,Three thousand dollar pearls for eight hundred dollars .,25,for_29_32,0.4900901553,0.4666666667
ea980120.1830.0071,344,Good evening from the central park in downtown Havana .,0,Good_0_4 in_35_37,0.4901989918,0.4471404521
wsj_0176,281,"Property/casualty insurance has been a tough business in recent quarters , as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake have resulted in huge payments .",5,has_28_31 been_32_36 has_86_89 been_90_94 have_180_184 resulted_185_193,0.4920756005,0.3745062926
wsj_0695,329,Giant has interests in cement making and newsprint .,3,has_6_9 in_20_22,0.494207364,0.4331931559
wsj_0670,411,The extrusion unit produces bare and painted custom extrusions for building products and construction industries .,9,for_63_66 construction_89_101,0.4951928164,0.415977805
wsj_0585,205,"Their motivation , however , has a strong practical aspect : Program trading is hazardous to their paychecks .",1,has_29_32 is_77_79,0.4956042059,0.4187672643
wsj_0610,328,`` Kellogg 's main problem is life style .,17,problem_19_26 is_27_29,0.496485246,0.4331931559
WSJ900813-0157,527,There are disagreements among experts about how much pressure will be needed to make Saddam Hussein decide he 's up against the wall and whether simple economic pressure will ever be enough .,46,are_6_9 among_24_29 pressure_53_61 be_67_69 needed_70_76 make_80_84 decide_100_106 pressure_161_169 be_180_182,0.4968160058,0.4762367369
NYT20000224.0173,197,"`` There has been a lot of pressure , and he feels this is a family affair . ''",15,has_9_12 been_13_17 feels_45_50 is_56_58,0.4983368536,0.3786746971
wsj_0760,259,"For the nine months , Norton had net of $ 81.2 million , or $ 3.87 a share , and a tax credit of $ 4.4 million .",11,had_29_32,0.4984736954,0.4857142857
wsj_0555,381,Waxman sells a variety of hardware products for the home repair market .,4,for_44_47 market_64_70,0.4985534803,0.4331931559
NYT20000330.0406,172,"Among non-Cuban Americans , there was a drastic shift in their feelings on the case . ''",34,was_34_37,0.4993354849,0.4666666667
wsj_0344,216,"Net sales for this year 's third quarter were $ 14 million , down from $ 21.4 million last year .",6,were_41_45,0.5000408077,0.4666666667
NYT19980206.0460,427,"The less money the government needs to borrow , the more is freed for private investment .",22,needs_30_35 borrow_39_45 is_57_59 for_66_69 investment_78_88,0.500301138,0.4468868132
wsj_1013,242,"Its ratio of tangible equity to total assets as of Sept. 30 was 3.6 % , and total equity was $ 457.9 million .",24,was_60_63 was_89_92,0.5037346748,0.46523088
NYT19980907.0112,523,"Tourism has never been so well-developed an industry in neighboring Tanzania , which is home to Mt. Kilimanjaro , the magnificent wildlife of Serengeti National Park and the exotic island of Zanzibar .",20,has_8_11 been_18_22 in_53_55 is_85_87,0.5041705304,0.4227258903
NYT20000330.0406,391,What about all the other poor kids in South and Central America ? '',41,in_35_37,0.504283138,0.4666666667
APW20000405.0276,20,`` It is inevitable . '',2,is_6_8,0.5051342529,0.4666666667
wsj_0781,432,"Of the big computer makers , only Apple Computer Co. bases its machines on Motorola chips instead .",47,on_72_74,0.505691657,0.4857142857
wsj_0927,541,"In this year 's third quarter , for example , net was $ 10.5 million , or $ 1.05 a share , compared with $ 10.3 million , or $ 1.02 a share , a year earlier .",15,In_0_2 for_32_35 net_46_49 was_50_53 compared_91_99,0.5059844065,0.4617330433
wsj_0695,47,Giant has interests in cement making and newsprint .,3,has_6_9,0.5064187679,0.4666666667
APW19991008.0151,396,Eight of them are in custody in the United States and one overseas .,9,are_14_17 in_18_20 in_29_31,0.5065534556,0.4384900179
wsj_0176,611,"Property/casualty insurance has been a tough business in recent quarters , as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake have resulted in huge payments .",5,has_28_31 been_32_36 business_45_53 in_54_56 pricing_78_85 has_86_89 been_90_94 disasters_117_126 Hurricane_135_144 earthquake_169_179 have_180_184 resulted_185_193 in_194_196 payments_202_210,0.5076069572,0.4790734102
wsj_0263,58,The dividend had been five cents a share .,3,had_13_16 been_17_21,0.507920347,0.4282910738
PRI19980303.2000.2550,341,"For The World , I 'm Nancy Marshalll .",31,For_0_3,0.5079775742,0.4666666667
NYT20000105.0325,415,`` The core issue here is the bond between the parent and the child . '',3,here_18_22 is_23_25,0.5106638412,0.4355040196
wsj_0760,379,"In the year-earlier quarter , the tax credit was $ 3.3 million .",4,In_0_2 was_45_48,0.5114452608,0.4299251012
wsj_0575,218,"Control Data mainframes are designed for numerically intensive computing users , such as the scientific , engineering and academic communities .",32,are_24_27 designed_28_36 computing_63_72,0.5129690163,0.4345505795
ABC19980108.1830.0711,343,A two hundred dollar wool jacket for fifty dollars .,26,for_33_36,0.5143130677,0.4666666667
wsj_0583,189,"Sansui was once one of Japan 's premier makers of expensive , high-quality stereo gear for audiophiles .",13,was_7_10,0.5152950807,0.5238095238
wsj_1008,435,A reinsurance company effectively insures insurance companies that wish to spread the risk of a particular policy .,6,spread_75_81 policy_107_113,0.5191319952,0.4496495565
wsj_0675,373,"Bonds : Shearson Lehman Hutton Treasury index 3406.31 , off 19.29 .",28,off_56_59,0.5197938508,0.4666666667
NYT20000330.0406,351,`` There are rules and regulations in this country .,36,are_9_12 in_35_37,0.5221191037,0.4633986119
AP900816-0139,463,"A total of about 3,000 Americans , 3,000 Britons and more than 450 Japanese are in Iraq and Kuwait .",12,are_76_79 in_80_82,0.523938924,0.46523088
wsj_0695,608,"The investor group includes Restaurant Investment Partnership , a California general partnership , and three Rally 's directors : Mr. Sugarman , James M. Trotter III and William E. Trotter II .",4,includes_19_27 Investment_39_49 Rally_109_114 directors_118_127,0.5250077978,0.4744872189
VOA19980331.1700.1533,487,"Under the new guidelines , donor organs will be made available to the sickest people first , wherever they live in the country .",1,Under_0_5 be_45_47 made_48_52 available_53_62 live_107_111 in_112_114,0.5255180951,0.4149527057
wsj_0187,110,Waertsilae Marine 's biggest creditor is Miami-based Carnival Cruise Lines Inc. .,9,is_38_40,0.5260132831,0.4857142857
wsj_0760,601,"In the year-earlier period , the company had net of $ 77.2 million , or $ 3.68 a share , and a tax credit of $ 7.7 million .",12,In_0_2 period_20_26 had_41_44 net_45_48,0.5265123353,0.4484086073
VOA19980331.1700.1533,584,It 's between two to six days for every one uh of the sickest patients across the country .,9,s_3_5 for_30_33,0.5266828179,0.4471404521
wsj_1042,180,Issuance of those warrants will be at the rate of one-third warrant for each warrant exercised .,7,be_32_34 exercised_85_94,0.5279490619,0.4535944476
wsj_0781,299,Intel 's microprocessors are the chips of choice in many of today 's personal computers and the 80486 microprocessor is the spearhead of the company 's bid to guard that spot in the next generation of machines .,34,are_25_28 is_117_119 guard_159_164,0.528776236,0.4941629079
wsj_0586,223,Traders said the market remains extremely nervous because of the wild swings seen on the New York Stock Exchange last week .,35,said_8_12 remains_24_31 seen_77_81,0.5291947792,0.4162754799
NYT20000414.0296,324,He 's been through a lot . '',27,been_6_10,0.5303911823,0.4666666667
CNN19980227.2130.0067,190,"Army of god is a secret organization that hates abortion providers , homosexuals and the US government .",20,is_12_14 hates_42_47,0.5311447427,0.4686971756
wsj_0568,146,"`` The quarter was terrible , and the future looks anything but encouraging . ''",4,was_15_18 looks_45_50 encouraging_64_75,0.5318155966,0.4433700987
NYT20000414.0296,392,MIAMI _ The small pharmacy on Unity Boulevard in Little Havana is unassuming .,0,on_27_29 in_46_48 is_63_65,0.5319856117,0.4293609883
APW19990312.0251,54,Now the alliance 's mission is more ill-defined .,17,is_28_30,0.5328994218,0.4666666667
wsj_0760,264,"Norton had operating profit of $ 76.8 million , or $ 3.66 a share , up 11 % from $ 69.5 million , or $ 3.31 a share .",13,had_7_10,0.5350993292,0.5238095238
ABC19980120.1830.0957,598,"At the end of the broadcast this evening , one more trip around Havana to see what it 's been like since the last time .",21,At_0_2 end_7_10 broadcast_18_27 trip_52_56 see_74_77 s_86_88 been_89_93,0.5359536528,0.4991468891
APW20000107.0318,18,I am the father . '',10,am_2_4,0.5362548303,0.4857142857
wsj_0533,489,Both offers are conditional on regulatory approvals and enough shares being tendered to give the bidders a majority of Connaught 's shares outstanding .,8,offers_5_11 are_12_15 conditional_16_27 on_28_30 being_70_75 tendered_76_84 give_88_92,0.5371371958,0.4305053122
wsj_0760,265,"In the year-earlier period , the company had net of $ 77.2 million , or $ 3.68 a share , and a tax credit of $ 7.7 million .",12,had_41_44,0.53737648,0.5238095238
wsj_0745,624,"The Conservatives do n't dare jeopardize marginal Tory seats in Coventry , where Jaguar has headquarters , nor can the government easily back down on promised protection for a privatized company while it proceeds with controversial plans to privatize most of Britain 's water and electricity industries .",26,do_18_20 in_61_63 has_88_91 back_137_141 down_142_146 on_147_149 promised_150_158 for_170_173 proceeds_204_212 plans_232_237,0.5394765283,0.4575006503
wsj_0344,465,"Net sales for this year 's third quarter were $ 14 million , down from $ 21.4 million last year .",6,sales_4_9 for_10_13 were_41_45 down_61_65,0.5404532343,0.4276612022
wsj_0781,590,"But while the chip 's speed in processing power is dazzling , it 's real strength lies in its software inheritance .",41,in_28_30 is_48_50 s_65_67 lies_82_86 in_87_89,0.5408300847,0.4157378652
wsj_0637,85,Lead underwriter to the issue is Toronto Dominion Securities Inc. .,9,is_30_32,0.5420176326,0.4857142857
wsj_0662,420,"In the quarter ended July 31 , Jayark had an average of 5.6 million shares outstanding .",7,In_0_2 ended_15_20 had_38_41,0.5421952366,0.4685785423
APW19991008.0151,397,"The victims in Nairobi , Kenya , numbered 213 , including 12 Americans .",14,in_12_14,0.5423902984,0.4666666667
wsj_0316,483,"The purchase price is equal to about 1.65 times Deseret 's roughly $ 10.7 million book value , or assets less liabilities .",5,purchase_4_12 is_19_21 equal_22_27,0.5431910547,0.4640576709
WSJ900813-0157,614,"Iraq 's first option , of course , may be simply to sit tight and hope it can endure a trade embargo longer than the West can live without Iraqi and Kuwaiti oil .",17,be_39_41 sit_52_55 hope_66_70 endure_78_84 embargo_93_100 live_126_130,0.5435057327,0.5175712222
AP900816-0139,213,"A total of about 3,000 Americans , 3,000 Britons and more than 450 Japanese are in Iraq and Kuwait .",12,are_76_79,0.544517966,0.4857142857
wsj_0650,80,"The debentures are available through Goldman , Sachs amp Co. .",2,are_15_18,0.5451011422,0.4857142857
ABC19980304.1830.1636,153,"Even two hundred miles up in space , there has been a glass ceiling .",4,has_43_46 been_47_51,0.5457755372,0.5091032774
PRI19980303.2000.2550,176,"The instruction is in English for most classes , in Arabic for language and religious studies .",6,is_16_18,0.546519323,0.4857142857
NYT20000113.0267,79,"Immigration , after all , is strictly a federal matter .",2,is_26_28,0.5468272727,0.4857142857
wsj_0583,257,"Such risk taking is an everyday matter for the brash Mr. Nadir , who is 25 % owner of Polly Peck as well as its chairman .",29,taking_10_16 is_17_19 is_69_71,0.5472339246,0.4897387843
NYT19980907.0112,19,It was more pristine . '',24,was_3_6,0.547362688,0.4857142857
NYT20000403.0463,404,"`` His father will be Fidel Castro , the worst dictator in history . ''",35,be_19_21 in_56_58,0.5483832492,0.421078128
wsj_0575,35,Utilities management is a major commercial niche .,33,is_21_23,0.5495782505,0.4857142857
NYT20000403.0463,148,"`` His father will be Fidel Castro , the worst dictator in history . ''",35,be_19_21,0.5496888907,0.4857142857
ABC19980120.1830.0957,252,"At the end of the broadcast this evening , one more trip around Havana to see what it 's been like since the last time .",21,see_74_77 's_86_88 been_89_93,0.5500304746,0.4893523847
wsj_0973,571,GNP is the total value of the nation 's output of goods and services .,7,is_4_6 services_60_68,0.5505172365,0.440125747
wsj_0356,466,The plan provides for the distribution of one common stock-purchase right as a dividend for each share of common outstanding .,2,plan_4_8 provides_9_17 for_18_21 for_88_91,0.5508878856,0.5005366589
CNN19980222.1130.0084,63,"CNN headline news , I 'm Sachi Koto .",0,m_22_24,0.5511431763,0.4666666667
wsj_0165,525,"The preferred stock , which would have a dividend rate of $ 1.76 a year , would be convertible into Heritage common at a rate of four common shares for each preferred .",4,have_34_38 be_80_82 convertible_83_94 at_116_118 for_148_151 preferred_157_166,0.5515949928,0.4239490819
wsj_0768,249,"Mutual funds are the among the largest holders of junk , accounting for more than a quarter of the entire high-yield , high-risk market .",15,are_13_16 accounting_57_67,0.5523725739,0.5028475226
wsj_0768,613,"Says Michael Hirsch , chief investment officer of Republic National Bank and manager of the FundTrust Group in New York : `` It 's a time bomb just waiting to go off . ''",38,Says_0_4 investment_28_38 officer_39_46 manager_77_84 in_108_110 s_128_130 bomb_138_142 waiting_148_155 go_159_161,0.5529015769,0.5117969698
wsj_0555,57,The conversion price is $ 9.58 a share .,2,is_21_23,0.5534456165,0.4857142857
wsj_0950,229,GMAC profits are combined with earnings from the rest of GM 's operations and attributed to the company 's traditional common stock .,17,are_13_16 combined_17_25 attributed_78_88,0.5536912648,0.4800115932
wsj_0781,74,That 's four times as fast as the 386 .,39,s_5_7,0.5546908783,0.4666666667
APW20000107.0318,71,Burton is an outspoken critic of the Castro regime .,15,is_7_9,0.5546908783,0.4666666667
APW19991024.0075,75,It 's all of the other dark nights . '',5,s_3_5,0.5546908783,0.4666666667
wsj_0376,518,"In a statement , the company said : `` Both parts can only realize their full potential and be appropriately valued by the market if they are separately quoted companies .",13,In_0_2 statement_5_14 said_29_33 realize_59_66 be_92_94 valued_109_115 market_123_129 are_138_141 quoted_153_159,0.5551814611,0.4517237799
wsj_0584,484,"McCaw , the largest provider of cellular telephone service in the U.S. , already owns about 9.4 % of LIN 's stock .",15,service_51_58 in_59_61 owns_81_85,0.5558373825,0.5004462805
wsj_0810,390,One big question now is the likely role of Mr. Fournier 's allies .,18,is_21_23 likely_28_34 role_35_39,0.5561024701,0.4341315531
APW20000107.0318,50,`` What right does that man have ? '',5,does_14_18 have_28_32,0.5563693747,0.440125747
wsj_0570,15,The companies are automotive-emissions-testing concerns .,14,are_14_17,0.5570103568,0.4666666667
VOA19980331.1700.1533,193,There are not huge waiting uh disparit - waiting time disparities amongst the very uh sickest patients .,8,are_6_9 waiting_19_26 waiting_41_48,0.5572881716,0.5103344243
wsj_0781,203,`` It 's going to be the leading edge technology in personal computers for the next few years .,49,s_6_8 going_9_14 be_18_20,0.5580799019,0.4431655525
wsj_0760,433,Norton and Texas Eastern had each held a 50 % stake in Eastman in a joint venture .,9,had_25_28 held_34_38 in_52_54 in_63_65 venture_74_81,0.5597218167,0.4911710209
wsj_0781,542,Intel 's microprocessors are the chips of choice in many of today 's personal computers and the 80486 microprocessor is the spearhead of the company 's bid to guard that spot in the next generation of machines .,34,are_25_28 in_49_51 is_117_119 bid_152_155 guard_159_164 in_175_177,0.5600865474,0.4850900533
VOA19980305.1800.2603,421,"The group has branches in Pakistan , Iran , Europe , Australia , and North America .",7,has_10_13 in_23_25,0.5614608217,0.5028475226
